dataset,user_id_max,creative_id_start,creative_id_end,max_len,embedding_size,epochs,batch_size,RMSProp,preprocess,network,parameters,first_loss,first_acc,max_loss,max_acc,max_epoch,last_loss,last_acc,test_loss,test_acc,over_fit,over_epoch,all_test_loss,all_test_acc
no_sequence,900k,,400k,128,64,20,256,0.0005,no_sequence,GlobalMaxPooling1D,,1.8358,0.2842,1.6065,0.3684,13,1.7036,0.3656,1.7001,0.3661,TRUE,9,1.7655,0.3648
no_sequence,900k,,400k,64,64,20,256,0.0005,no_sequence,GlobalMaxPooling1D,,1.8084,0.2932,1.5981,0.3708,15,1.7123,0.368,1.7115,0.3671,TRUE,8,1.8206,0.3657
no_sequence,900k,,50k,128,128,20,256,0.0005,no_sequence,GlobalMaxPooling1D,,1.7445,0.3084,1.5422,0.3784,8,1.6519,0.3685,1.6491,0.3689,TRUE,8,1.7334,0.3644
no_sequence,900k,,50k,128,256,20,256,0.0005,no_sequence,GlobalMaxPooling1D,,1.6767,0.3307,1.5321,0.3833,6,1.7765,0.3631,1.7772,0.3614,TRUE,5,1.9784,0.3528
no_sequence,900k,,50k,128,384,20,256,0.0005,no_sequence,GlobalMaxPooling1D,,1.6421,0.3441,1.5164,0.3848,4,1.8866,0.3583,1.8829,0.3579,TRUE,5,1.9674,0.3535
no_sequence,900k,0,640k,128,128,30,1024,0.0005,no_sequence,GlobalMaxPooling1D+MLP,"0.5,128,BN,0.5,128,BN",2.0954,0.2261,1.5822,0.3614,23,1.6421,0.3501,1.6396,0.3494,TRUE,18,1.6396,0.3494
no_sequence,900k,0,640k,128,128,30,1024,0.0005,no_sequence,GlobalMaxPooling1D+MLP,"0.5,128,BN,0.5,128,BN,0.5,10,BN",2.219,0.227,1.5335,0.3884,19,1.5969,0.3838,1.5922,0.3834,TRUE,12,1.6413,0.3884
no_sequence,900k,0,640k,128,128,60,1024,0.0005,no_sequence,GlobalMaxPooling1D+MLP,"0.5,128,BN,0.5,128,BN,0.5,10,BN",2.1905,0.2414,1.5841,0.3923,31,1.7932,0.3777,1.7872,0.3784,TRUE,18,1.7818,0.3781
no_sequence,900k,0,640k,128,128,60,1024,0.0005,no_sequence,GlobalMaxPooling1D+MLP,"0.5,128,BN,0.5,128,BN,0.5,128,BN,0.5,128,BN,0.5,10,BN",2.3036,0.145,1.664,0.373,41,1.821,0.3658,1.8171,0.3649,TRUE,24,1.8449,0.3676
no_sequence,900k,0,640k,128,128,30,1024,0.0005,no_sequence,GlobalMaxPooling1D+MLP,"0.5,64,BN,0.5,32,BN,0.5,10,BN",2.1838,0.2191,1.5639,0.378,25,1.588,0.3762,1.587,0.3743,TRUE,18,1.6044,0.3776
no_sequence,900k,0,640k,128,128,30,1024,0.0005,no_sequence,GlobalMaxPooling1D+MLP,"0.5,64,0.5,32",1.8881,0.2757,1.5671,0.3807,23,1.6128,0.3689,1.6102,0.3688,TRUE,14,1.6169,0.3798
no_sequence,900k,0,640k,256,128,20,256,0.0005,no_sequence,GlobalMaxPooling1D,,1.7571,0.3088,1.5529,0.3853,9,1.919,0.3675,1.9203,0.3661,TRUE,7,2.0873,0.3623
all,900k,,700k,128,128,20,256,0.0005,no_sequence,GlobalMaxPooling1D,,,0.3063,,0.3836,9,,0.3691,,0.3698,TRUE,9,,0.3698
all,900k,,75k,128,256,20,256,0.0005,no_sequence,GlobalMaxPooling1D,,,0.3295,,0.3942,6,,0.3723,,0.371,TRUE,6,,0.371
no_sequence,900k,,75k,128,128,20,256,0.0005,no_sequence,GlobalMaxPooling1D,,1.7408,0.3079,1.5374,0.3829,8,1.6959,0.3718,1.6967,0.3684,TRUE,7,1.809,0.3636
no_sequence,900k,,75k,128,256,20,256,0.0005,no_sequence,GlobalMaxPooling1D,,1.6817,0.3308,1.5185,0.3849,5,1.8625,0.3642,1.8641,0.3621,TRUE,6,2.13,0.3517
no_sequence,900k,,75k,128,384,20,256,0.0005,no_sequence,GlobalMaxPooling1D,,1.6537,0.3373,1.516,0.3895,5,1.9823,0.3615,1.985,0.3573,TRUE,5,2.0817,0.3541
no_sequence,900k,,800k,32,32,20,256,0.0005,no_sequence,GlobalMaxPooling1D,,1.8934,0.2638,1.6703,0.3499,18,1.6872,0.349,1.6861,0.3491,TRUE,10,1.7218,0.3512
no_sequence,900k,0,max,1024,32,40,512,0.0005,no_sequence,GlobalMaxPooling1D,,1.9341,0.2501,1.5968,0.3619,17,1.8701,0.3484,1.8636,0.3489,TRUE,15,1.9984,0.347
no_sequence,900k,0,max,128,32,30,1024,0.0005,no_sequence,GlobalMaxPooling1D,,1.9865,0.2277,1.6303,0.3572,25,1.6741,0.3544,1.6714,0.3547,TRUE,17,1.8013,0.3514
